Ticker,Price,One Year Price Return,One Year Return Percentile,Six Month Price Return,Six Month Return Percentile,Three Month Price Return,Three Month Return Percentile,One Month Price Return,One Month Return Percentile,Momentum Score,Number of Shares to Buy
FANG,$102.81,167.05%,98.42%,110.39%,99.80%,23.90%,95.84%,15.58%,97.23%,97.82%,786
NVDA,$836.32,117.59%,92.67%,57.08%,96.24%,47.60%,100.00%,25.29%,99.60%,97.13%,96
DXC,$42.36,156.16%,97.43%,58.69%,96.83%,31.47%,99.01%,6.28%,83.56%,94.21%,1909
OXY,$32.72,92.75%,85.54%,91.00%,99.21%,20.26%,92.28%,15.90%,97.43%,93.61%,2472
IT,$258.87,107.52%,91.09%,57.23%,96.44%,32.85%,99.60%,6.90%,84.75%,92.97%,312
FTNT,$251.21,75.22%,76.83%,65.90%,98.02%,31.15%,98.61%,13.32%,95.64%,92.28%,322
LB,$76.99,398.86%,100.00%,100.50%,99.60%,20.22%,92.08%,4.18%,77.03%,92.18%,1050
WAT,$359.10,95.71%,86.73%,43.62%,92.87%,24.16%,96.04%,10.55%,92.28%,91.98%,225
MRO,$13.97,141.58%,96.83%,116.28%,100.00%,20.86%,92.87%,3.04%,72.48%,90.54%,5790
TGT,$256.84,107.93%,91.29%,38.78%,87.33%,22.71%,94.65%,7.28%,86.93%,90.05%,314
EXR,$175.12,75.48%,77.23%,46.15%,93.86%,23.37%,95.45%,9.54%,91.49%,89.50%,461
IDXX,$676.70,95.05%,86.34%,29.11%,73.07%,32.27%,99.21%,16.29%,98.22%,89.21%,119
F,$15.59,149.43%,97.03%,71.36%,98.42%,22.76%,94.85%,0.70%,59.41%,87.43%,5188
DVN,$30.45,190.82%,99.41%,92.29%,99.41%,28.69%,98.42%,-0.44%,50.50%,86.93%,2656
JCI,$69.97,111.31%,91.68%,51.11%,95.05%,15.92%,84.75%,3.39%,73.86%,86.34%,1156
OKE,$58.29,96.71%,87.33%,55.72%,96.04%,13.11%,77.03%,6.10%,83.17%,85.89%,1387
COP,$64.82,61.87%,65.54%,61.94%,97.62%,18.08%,89.31%,8.07%,88.32%,85.20%,1247
GOOG,"$2,678.61",79.20%,79.41%,45.81%,93.66%,18.42%,90.10%,4.17%,76.63%,84.95%,30
IQV,$251.65,77.35%,78.22%,38.66%,86.73%,25.12%,97.03%,4.26%,77.43%,84.85%,321
INTU,$501.39,66.53%,70.30%,30.17%,75.25%,24.64%,96.44%,12.12%,95.05%,84.26%,161
GPS,$34.20,174.18%,98.61%,68.97%,98.22%,13.04%,76.44%,1.26%,62.97%,84.06%,2365
CARR,$49.04,119.28%,93.07%,30.86%,77.23%,16.88%,86.73%,4.43%,78.61%,83.91%,1649
HES,$92.34,81.35%,81.19%,71.99%,98.61%,19.88%,91.49%,1.60%,64.16%,83.86%,876
TXT,$71.19,121.70%,93.86%,43.49%,92.48%,21.33%,93.27%,0.01%,55.05%,83.66%,1136
TROW,$209.02,73.32%,74.85%,37.32%,85.35%,17.61%,88.51%,7.09%,85.74%,83.61%,387
LLY,$241.94,45.21%,49.11%,39.19%,87.72%,25.37%,97.23%,17.07%,98.61%,83.17%,334
SEE,$61.73,89.41%,84.16%,31.34%,78.22%,31.38%,98.81%,2.67%,70.30%,82.87%,1310
SYF,$50.18,134.00%,95.84%,43.43%,91.88%,18.04%,89.11%,-0.21%,51.68%,82.13%,1612
SLB,$33.38,91.79%,85.15%,52.33%,95.64%,18.22%,89.50%,0.43%,57.03%,81.83%,2423
EOG,$89.47,80.16%,80.00%,78.09%,98.81%,15.32%,83.17%,1.66%,64.75%,81.68%,904
